name,ingredients_name,category
Dahi Bhindi Recipe - Okra in Yogurt Curry with Caramelized Onions,"Bhindi (Lady Finger/Okra), Onion, Ginger, Curd (Dahi / Yogurt), Gram flour (besan), Garam masala powder, Turmeric powder (Haldi), Red Chilli powder, Salt, Caramelized onions, Oil, Ghee, Cumin seeds (Jeera), Dry Red Chillies, Coriander (Dhania) Leaves",Indian
Jaggery Sweetened Apple Oatmeal Recipe ,"Apple, Instant Oats (Oatmeal), Jaggery, Cinnamon Powder (Dalchini), Ginger, Nutmeg powder, Vanilla Extract, Water, Milk, Hazelnut, Sultana Raisins, Sesame seeds (Til seeds), Apple",Other
Goan Style Sangacho Ross Recipe-Drumstick Curry,"Arhar dal (Split Toor Dal), Drumstick, Onion, Fresh coconut, Coriander (Dhania) Seeds, Dry Red Chillies, Tamarind, Whole Black Peppercorns, Turmeric powder (Haldi)",Indian
Himachal Pahari Style Teliah Mah Recipe (Brown Horse Gram Curry) ,"Horse Gram Dal (Kollu/ Kulith), Bay leaf (tej patta), Cardamom (Elaichi) Pods/Seeds, Black cardamom (Badi Elaichi), Cinnamon Stick (Dalchini), Cumin seeds (Jeera), Asafoetida (hing), Ginger, Black pepper powder, Coriander Powder (Dhania), Red Chilli powder, Turmeric powder (Haldi), Curd (Dahi / Yogurt), Fresh cream, Ghee, Salt",Indian
Paneer In Lemon Honey Sauce Recipe,"Paneer (Homemade Cottage Cheese), Extra Virgin Olive Oil, Garlic, Lemon juice, Lemon zest, Honey, Turmeric powder (Haldi), Salt, Black pepper powder, Coriander (Dhania) Leaves",Other
Mangalorean Style Lobia Gassi Recipe - Black Eyed Peas In Coconut Curry,"Shallots, Cloves (Laung), Fresh coconut, Dry Red Chillies, Coriander (Dhania) Seeds, Cumin seeds (Jeera), Methi Seeds (Fenugreek Seeds), Whole Black Peppercorns, Curry leaves, Tamarind, Black Eyed Beans (Lobia), Coconut milk, Turmeric powder (Haldi), Cinnamon Stick (Dalchini), Mustard seeds (Rai/ Kadugu), Garlic, Dry Red Chilli, Asafoetida (hing), Oil, Salt",Indian
Thai Style Sweet And Sour Cucumber & Carrot Salad Recipe ,"Cucumber, Carrot (Gajjar), Sugar, Rice Vinegar, Sesame (Gingelly) Oil, Red Chilli flakes, Honey, Raw Peanuts (Moongphali), Spring Onion (Bulb & Greens), Salt",Other
Kerala Style Vendakka Uppadan Recipe,"Bhindi (Lady Finger/Okra), Tamarind, Turmeric powder (Haldi), Coconut Oil, Mustard seeds (Rai/ Kadugu), Asafoetida (hing), Curry leaves, Salt, Methi Seeds (Fenugreek Seeds), Rice, Dry Red Chillies",Other
Konkani Style Alasande Randayi Recipe-Black Eyed Beans and Yam Gravy,"Black Eyed Beans (Lobia), Elephant yam (Suran/Senai/Ratalu), Turmeric powder (Haldi), Jaggery, Salt, Coriander (Dhania) Seeds, Dry Red Chilli, Tamarind, Fresh coconut, Mustard seeds (Rai/ Kadugu), Curry leaves, Asafoetida (hing), Oil",Other
Chicken Parmigiana Recipe,"Chicken breasts, Whole Wheat Bread crumbs, All Purpose Flour (Maida), Salt and Pepper, Whole Egg, Parmesan cheese, Mozzarella cheese, Homemade tomato puree, Onion, Garlic, Sugar, Red Chilli powder, Red Chilli flakes, Rosemary, Tabasco Original - Hot Sauce, Salt, Oil",Other
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"Chicken, Onion, Tomato, Green Chillies, Ginger, Garlic, Turmeric powder (Haldi), Garam masala powder, Sesame (Gingelly) Oil, Salt, Methi Seeds (Fenugreek Seeds), Coriander (Dhania) Seeds, Dry Red Chillies, Fennel seeds (Saunf), Sesame (Gingelly) Oil, Garlic, Sorrel Leaves (Gongura), Salt",Indian
"Sesame Millet Noodle Salad with Raw Carrots, Cucumbers & Spicy Peanut Dressing","Hakka Noodles, Cucumbers, Carrots (Gajjar), Thai basil leaves, Peanut Butter, Sesame seeds (Til seeds), Sriracha sauce, Ginger, Garlic, Fresh Red Chilli, Rice Vinegar, Water, Honey, Raw Peanuts (Moongphali), Sesame seeds (Til seeds), Basil leaves",Other
Vankaya Ulli Karam Recipe - Eggplant In Spicy Onion Gravy,"Small Brinjal (Baingan / Eggplant), Onions, Tomato, Garlic, Ginger, Green Chillies, Cumin seeds (Jeera), Coriander (Dhania) Seeds, Methi Seeds (Fenugreek Seeds), Salt, Oil, Coriander (Dhania) Leaves",Other
Sabsige Soppu Palya Recipe - Udupi Style Dill Leaves Stir Fry,"Dill leaves, Fresh coconut, Mustard seeds (Rai/ Kadugu), Chana dal (Bengal Gram Dal), Garlic, Onion, Green Chilli, Curry leaves, Oil, Salt",Asian
Panasa Pottu Pappu Koora Recipe - Jackfruit & Dal Curry,"Jackfruit Raw (Kathal), Yellow Moong Dal (Split), Oil, Black Urad Dal (Split), Cumin seeds (Jeera), Mustard seeds (Rai/ Kadugu), Dry Red Chillies, Asafoetida (hing), Curry leaves, Turmeric powder (Haldi), Salt",Indian
Keema Bhindi Masala Recipe - Okra & Minced Meat Curry,"Bhindi (Lady Finger/Okra), Salt, Mustard oil, Chicken, Mustard oil, Green Chillies, Onions, Ginger, Garlic, Homemade tomato puree, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Garam masala powder, Salt, Kasuri Methi (Dried Fenugreek Leaves), Coriander (Dhania) Leaves",Indian
Spinach And Tomato Quiche Recipe ,"All Purpose Pie Crust, Whole Eggs, Milk, Spinach Leaves (Palak), Onion, Garlic, Rosemary, Salt",French
Pudalangai Poriyal Recipe - Snake Gourd Poriyal Recipe,"Snake gourd (pudulangai), Onion, Green Chillies, Cumin powder (Jeera), Turmeric powder (Haldi), Oil, Mustard seeds (Rai/ Kadugu), Fresh coconut, Salt, Curry leaves",Indian
Mushroom filled Vol-au-Vent Recipe ,"Puff Pastry Sheet, Button mushrooms, Garlic, Fresh cream, Fresh Thyme leaves, Red Chilli flakes, Lemon juice, Salt, Whole Black Peppercorns",Other
Curry Fried Quinoa Rice Recipe,"Quinoa, Brown Rice, Carrots (Gajjar), Green peas (Matar), Red Bell pepper (Capsicum), Curry leaves, Onions, Extra Virgin Olive Oil, Garlic, Whole Eggs, Curry powder, Soy sauce, Brown Sugar (Demerara Sugar), Salt, Black pepper powder",Indian
Mangalorean Chana Gassi Recipe,"Kabuli Chana (White Chickpeas), Salt, Dry Red Chillies, Garlic, Coriander (Dhania) Seeds, Fresh coconut, Tamarind Paste, Turmeric powder (Haldi), Salt, Water, Coconut Oil, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Asafoetida (hing), Curry leaves",Other
Curried Butternut Squash Soup Recipe,"Butternut squash, Onion, Ginger, Garlic, Red Chilli powder, Coriander Powder (Dhania), Cumin powder (Jeera), Garam masala powder, Salt, Milk, Water, Extra Virgin Olive Oil, Extra Virgin Olive Oil, Pumpkin seeds, Whole Black Peppercorns, Coriander (Dhania) Leaves",Other
Chamadumpa Vepudu Recipe - Andhra Style Colocasia Stir Fry | Arbi Sabzi,"Colocasia root (Arbi), Red Chilli powder, Turmeric powder (Haldi), Amchur (Dry Mango Powder), Coriander (Dhania) Powder, Asafoetida (hing), Salt, Gingelly oil, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Dry Red Chilli, Curry leaves",Asian
Andhra Style Sorakaya Kura Recipe - Bottle Gourd And Toor Dal Recipe,"Bottle gourd (lauki), Arhar dal (Split Toor Dal), Mustard seeds (Rai/ Kadugu), Curry leaves, Asafoetida (hing), Cumin seeds (Jeera), Tomatoes, Green Chilli, Black pepper powder, Turmeric powder (Haldi), Red Chilli powder",Indian
Beetroot Dip Rosemary Crostini Recipe With Fine Cheddar And Avocados,"Baguette, Avocados, Cheddar cheese, Beetroot dip, Parsley leaves, Cayenne Pepper",Other
Togari Bele Tovve Recipe - Toor Dal Rasam,"Arhar dal (Split Toor Dal), Water, Turmeric powder (Haldi), Ginger, Green Chillies, Tamarind, Lemon juice, Ghee, Mustard seeds (Rai/ Kadugu), Asafoetida (hing), Curry leaves, Coriander (Dhania) Leaves",Indian
Light And Healthy Spinach Soup Recipe,"Spinach Leaves (Palak), Extra Virgin Olive Oil, Garlic, Coriander (Dhania) Leaves, Milk, Vegetable stock, Black pepper powder, Salt",Other
Kadali Bhanda O Chingudi Tarkari Recipe (Odia Style Banana Blossom & Prawn Curry),"Banana flower (Vazhaipoo), Prawns, Potato (Aloo), Onion, Bay leaf (tej patta), Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Cloves (Laung), Dry Red Chillies, Cumin seeds (Jeera), Ginger Garlic Paste, Cumin powder (Jeera), Sugar, Turmeric powder (Haldi), Garam masala powder, Red Chilli powder, Mustard oil, Salt, Fresh coconut",Indian
Konkani Style Vali Bendi Recipe-Malabar Spinach Curry,"Spinach Leaves (Palak), Garlic, Salt, Fresh coconut, Dry Red Chillies, Tamarind",Indian
Zucchini Salad with Barbecue Sauce Dressing Recipe ,"Green zucchini, Carrot (Gajjar), Yellow Bell Pepper (Capsicum), Red Bell pepper (Capsicum), Sesame seeds (Til seeds), Mixed Herbs (Dried), Barbeque sauce, Lemon juice, Red Chilli flakes, Extra Virgin Olive Oil, Salt",American
Whole Wheat Soya Keema Kulchas,"Whole Wheat Flour, Curd (Dahi / Yogurt), Milk, Ajwain (Carom seeds), Baking soda, Sugar, Oil, Lukewarm Water, Soy granules, Onions, Cumin seeds (Jeera), Red Chilli powder, Turmeric powder (Haldi), Garam masala powder, Coriander Powder (Dhania), Garlic, Ginger, Oil, Lemon juice, Salt, Coriander (Dhania) Leaves, Green Chillies, Mint Leaves (Pudina), Ghee",Other
 Lemon Coriander Soup Recipe,"Oil, Garlic, Ginger, Spring Onion (Bulb & Greens), Coriander (Dhania) Leaves, Carrots (Gajjar), Water, Salt, Black pepper powder, Corn flour, Lemon juice",Other
Goan Chana Ros Recipe (White Peas Curry),"Dried Green Peas (Vatana), Onion, Fresh coconut, Dry Red Chillies, Coriander (Dhania) Seeds, Cloves (Laung), Tamarind, Turmeric powder (Haldi), Salt",Indian
Mixed Sprouts Sabzi Recipe,"Mixed Sprouts, Water, Oil, Cumin seeds (Jeera), Asafoetida (hing), Onion, Ginger Garlic Paste, Tomato, Green Chillies, Turmeric powder (Haldi), Salt, Red Chilli powder, Cumin powder (Jeera), Garam masala powder, Coriander Powder (Dhania), Coriander (Dhania) Leaves",Other
French Brioche Recipe (Savoury Version),"All Purpose Flour (Maida), Salt, Active dry yeast, Sugar, Whole Eggs, Butter (Salted), Milk, Homemade Pizza And Pasta Sauce, Milk, Oil",Other
Andhra Style Patoli Recipe (Dal Usli/ Crumbled Dal Recipe),"Chana dal (Bengal Gram Dal), Green Chilli, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Cumin seeds (Jeera), Curry leaves, Asafoetida (hing), Onion, Ginger Garlic Paste, Red Chilli powder, Turmeric powder (Haldi), Salt, Oil",Indian
Kathirikai UrulaiKizhanghu Pachidi Recipe (Brinjals And Potatoes With Moong Dal),"Yellow Moong Dal (Split), Turmeric powder (Haldi), Shallots, Tomato, Brinjal (Baingan / Eggplant), Potatoes (Aloo), Green Chillies, Salt, Coriander (Dhania) Leaves, Oil, Curry leaves, Dry Red Chillies, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split)",Indian
Spinach And Millet Pulav Recipe,"Foxtail Millet, Ginger, Tomatoes, Green Chillies, Bay leaves (tej patta), Cardamom (Elaichi) Pods/Seeds, Turmeric powder (Haldi), Cumin powder (Jeera), Spinach Leaves (Palak), Salt, Oil, Ghee",Other
Whole Wheat Seeded Loaf Recipe,"Whole Wheat Flour, All Purpose Flour (Maida), Sunflower seeds, Ajwain (Carom seeds), Salt, Active dry yeast, Lukewarm Water, Oil",Other
"Avocado, Grapefruit And Walnut Salad Recipe","Avocado, Grapefruit, Cherry tomatoes, Walnuts, Mixed Greens, Lemon juice, Extra Virgin Olive Oil, White vinegar, Soy sauce, Honey, Shallots, Dijon Mustard, Salt, Black pepper powder",Other
Andhra Style Vankaya Kothimeera Karam Koora Recipe,"Small Brinjal (Baingan / Eggplant), Coriander (Dhania) Leaves, Green Chillies, Salt, Oil",Other
Muga Ambat Recipe,"Green Moong Sprouts, Fresh coconut, Dry Red Chillies, Turmeric powder (Haldi), Tamarind Water, Salt, Water, Oil, Oil, Dry Red Chillies, Mustard seeds (Rai/ Kadugu), Onion, Curry leaves",Other
Chicken With Mushroom Sauce Recipe ,"Chicken breasts, Button mushrooms, Onion, Garlic, Dried Thyme Leaves, Red Chilli flakes, Black pepper powder, Milk, Corn flour, Salt, Butter (Unsalted)",Other
Kodava Kummu Curry Recipe- Coorg Style Mushroom Curry ,"Button mushrooms, Green Chillies, Dry Red Chillies, Whole Black Peppercorns, Onion, Tomatoes, Curry leaves, Coriander (Dhania) Seeds, Turmeric powder (Haldi), Salt, Oil, Fresh coconut, Cumin seeds (Jeera), Garlic",Indian
Malai Kofta Curry Recipe - Creamy and Healthy Paneer Aloo Kofta Curry,"Potatoes (Aloo), Paneer (Homemade Cottage Cheese), Garam masala powder, Red Chilli powder, Gram flour (besan), Coriander (Dhania) Leaves, Sultana Raisins, Salt, Oil, Ghee, Ginger, Garlic, Onion, Homemade tomato puree, Coriander Powder (Dhania), Garam masala powder, Turmeric powder (Haldi), Red Chilli powder, Cardamom Powder (Elaichi), Honey, Fresh cream, Kasuri Methi (Dried Fenugreek Leaves), Salt",Indian
Mangalore Cucumber Chana Dal Subzi Recipe,"Mangalorean cucumber, Chana dal (Bengal Gram Dal), Cumin seeds (Jeera), Bay leaf (tej patta), Ginger, Tomato, Coriander Powder (Dhania), Turmeric powder (Haldi), Red Chilli powder, Sugar, Coriander (Dhania) Leaves, Oil, Cumin seeds (Jeera), Dry Red Chillies, Salt",Indian
Raw Mango Puliyogare Gojju Recipe With Peanuts,"Mango (Raw), Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Chana dal (Bengal Gram Dal), Curry leaves, Raw Peanuts (Moongphali), Jaggery, Asafoetida (hing), Oil, Black sesame seeds, Dry Red Chillies, Coriander (Dhania) Seeds, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Cumin seeds (Jeera), Whole Black Peppercorns",Other
Chicken Yakisoba Recipe - Japanese Noodles ,"Chicken breasts, Salt, Corn flour, Black pepper powder, Oil, Yakisoba noodles, Oil, Onion, Carrot (Gajjar), Cabbage (Patta Gobi/ Muttaikose), Spring Onion Greens, Button mushrooms, Soy sauce, Red Wine Vinaigrette, Brown Sugar (Demerara Sugar), Worcestershire sauce, Green Chilli",Asian
Beerakaya Tomato Koora Recipe (Andhra Style Ridge Gourd Curry),"Ridge Gourd (Turai/ Peerkangai), Onion, Tomatoes, Garlic, Jaggery, Red Chilli powder, Coriander Powder (Dhania), Turmeric powder (Haldi), Methi Seeds (Fenugreek Seeds), Fennel seeds (Saunf), Curry leaves, Mustard seeds (Rai/ Kadugu), Asafoetida (hing), Coriander (Dhania) Leaves, Dry Red Chilli, Oil, Salt",Indian
Shrimp Deviled Eggs Recipe ,"Whole Eggs, Spring Onion (Bulb & Greens), Shrimps, Classic Mayonnaise (With Egg), English Mustard Sauce, Black pepper powder, Garlic powder, Spring Onion Greens, Salt",Other
Gobi Matar ki Sabzi Recipe | Easy Cauliflower and Green Peas Curry,"Cauliflower (gobi), Green peas (Matar), Oil, Cumin seeds (Jeera), Onion, Garlic, Green Chillies, Ginger, Tomatoes, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Garam masala powder, Salt, Coriander (Dhania) Leaves",Indian
Grilled Winter Vegetable Salad Recipe,"Green zucchini, Red Bell pepper (Capsicum), Orange Bell pepper (Capsicum), Japanese Eggplant, Onion, Extra Virgin Olive Oil, Salt, Dried basil leaves, Dried oregano, Extra Virgin Olive Oil, Red Wine Vinaigrette, Honey, Tabasco Original - Hot Sauce, Salt",Other
Kerala Style Brinjal Curry Recipe | Spicy Eggplant Curry in Coconut Milk,"Baby brinjals, Turmeric powder (Haldi), Salt, Coconut Oil, Coconut Oil, Mustard seeds (Rai/ Kadugu), Fennel seeds (Saunf), Curry leaves, Green Chillies, Pearl onions (Sambar Onions), Turmeric powder (Haldi), Red Chilli powder, Tomatoes, Coconut milk, Salt, Coriander (Dhania) Leaves",Indian
Sweet Potato And Broccoli Sabzi Recipe,"Broccoli, Sweet Potato, Cumin powder (Jeera), Turmeric powder (Haldi), Salt, Kalonji (Onion Nigella Seeds), Oil, Red Chilli powder, Salt",Other
Thai Lemongrass Rice Recipe,"Jasmine Rice, Lemon Grass, Cardamom (Elaichi) Pods/Seeds",Other
Bengali Sukto Recipe - Mixed Vegetable Curry,"Karela (Bitter Gourd/ Pavakkai), Sweet Potato, Brinjal (Baingan / Eggplant), Kaddu (Parangikai/ Pumpkin), Drumstick, Raw papaya, Ridge Gourd (Turai/ Peerkangai), Badi (wadi), Plantain Stem, Mustard seeds (Rai/ Kadugu), Poppy seeds, Sugar, Milk, Turmeric powder (Haldi), Cumin powder (Jeera), Methi Seeds (Fenugreek Seeds), Dry Red Chilli, Bay leaf (tej patta), Ginger, Ghee, Mustard oil, Salt",Indian
Panasa Pottu Aava Koora Recipe - Andhra Style Mustard Flavoured Raw Jackfruit Curry,"Jackfruit Raw (Kathal), Tamarind Paste, Green Chillies, Oil, Water, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Chana dal (Bengal Gram Dal), Dry Red Chilli, Asafoetida (hing), Curry leaves, Salt, Cashew nuts, Turmeric powder (Haldi), Mustard seeds (Rai/ Kadugu), Sesame seeds (Til seeds), Dry Red Chilli",Indian
Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe,"Chana dal (Bengal Gram Dal), Dry Red Chilli, Curry leaves, Fennel seeds (Saunf), Oil, Cinnamon Stick (Dalchini), Cloves (Laung), Cardamom (Elaichi) Pods/Seeds, Whole Black Pepper Corns, Bay leaf (tej patta), Green Chilli, Curry leaves, Onion, Ginger, Garlic, Homemade tomato puree, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Salt, Mint Leaves (Pudina)",Indian
Mexican Chicken Soup Recipe,"Onion, Carrot (Gajjar), Celery, Sweet corn, Garlic, Green Chilli, Tomatoes, Chicken breasts, Dried oregano, Red Chilli powder, Cumin powder (Jeera), Coriander (Dhania) Leaves, Chicken stock, Lemon juice, Salt, Oil",Other
Kashmiri Style Tamatar Chaman Recipe -Paneer Cooked With Tomatoes,"Paneer (Homemade Cottage Cheese), Tomatoes, Cumin seeds (Jeera), Ajwain (Carom seeds), Kashmiri Red Chilli Powder, Turmeric powder (Haldi), Fennel Powder, Dry ginger powder, Garam masala powder, Mustard oil, Salt",Other
Paneer Stuffed Bhindi In Ajwain Tomato Gravy Recipe,"Bhindi (Lady Finger/Okra), Paneer (Homemade Cottage Cheese), Red Chilli powder, Coriander Powder (Dhania), Chaat Masala Powder, Salt, Onion, Ginger, Garlic, Ajwain (Carom seeds), Green Chilli, Red Chilli powder, Coriander Powder (Dhania), Turmeric powder (Haldi), Garam masala powder, Homemade tomato puree, Kasuri Methi (Dried Fenugreek Leaves), Oil, Salt",Other
